Country,aver_count_salary
Sweden,59307.6129985229
Spain,43992.32772020726
Germany,67155.16555462885
France,52761.02347024308
Switzerland,103913.73770491804
United Kingdom,77050.57273559012
Russian Federation,39741.25274725275
Ukraine,46265.39513677811
Greece,31527.71914893617
Italy,38137.7023255814
Netherlands,64694.9327176781
Poland,41342.04957507082
Hungary,39775.46524064171
Austria,57849.469798657716
Romania,40702.357142857145
Lithuania,55199.52336448598
Slovenia,44762.60909090909
Croatia,33864.67256637168
Ireland,80726.3448275862
Belgium,51661.74919614148
Slovakia,36190.06172839506
Bulgaria,39568.33678756477
Denmark,86726.82108626197
Finland,62302.92026578073
Portugal,37495.546875
Norway,82918.77586206897
Serbia,36408.8717948718
Malta,45761.47619047619
Belarus,40863.89705882353
Czech Republic,43456.62765957447
Cyprus,34352.95
Luxembourg,73325.21739130435
Iceland,77318.0
Republic of Moldova,32954.69565217391
Estonia,46361.45333333333
Latvia,43834.645833333336
Albania,27040.65
Bosnia and Herzegovina,30953.152173913044
Monaco,26100.0
Montenegro,39023.625
